Rank,Term,Freq,C
1, free, 1599, 0.00208
2, wikipedia, 1497, 0.00389
3, wikipedia free, 1436, 0.00559
4, new, 1049, 0.00545
5, time, 1037, 0.00673
6, years, 950, 0.0074
7, known, 889, 0.00808
8, used, 796, 0.00826
9, later, 772, 0.00902
10, year, 719, 0.00933
11, world, 713, 0.01018
12, including, 698, 0.01087
13, called, 667, 0.01125
14, work, 610, 0.01108
15, second, 581, 0.01131
16, people, 572, 0.01188
17, high, 562, 0.0124
18, like, 557, 0.01301
19, based, 536, 0.01322
20, 10, 531, 0.01378
21, use, 527, 0.01436
22, early, 526, 0.01502
23, area, 510, 0.01522
24, number, 509, 0.01585
25, long, 492, 0.01596
26, city, 489, 0.0165
27, family, 488, 0.0171
28, end, 486, 0.01766
29, following, 480, 0.01806
30, small, 477, 0.01857
31, national, 472, 0.01899
32, life, 471, 0.01956
33, war, 469, 0.02009
34, united, 467, 0.02061
35, states, 466, 0.02117
36, state, 465, 0.02172
37, large, 462, 0.02218
38, began, 462, 0.02278
39, place, 462, 0.02338
40, 2007, 457, 0.02372
41, school, 451, 0.024
42, 2006, 450, 0.02453
43, day, 448, 0.025
44, old, 433, 0.02473
45, left, 432, 0.02523
46, home, 430, 0.02567
47, group, 427, 0.02604
48, 12, 424, 0.02641
49, way, 418, 0.02658
50, just, 418, 0.02712
51, did, 417, 0.0276
52, best, 414, 0.02794
53, north, 413, 0.02841
54, major, 411, 0.0288
55, american, 411, 0.02934
56, named, 409, 0.02972
57, 15, 402, 0.02974
58, took, 402, 0.03026
59, make, 398, 0.03047
60, include, 397, 0.03091
61, local, 396, 0.03135
62, main, 391, 0.03146
63, south, 390, 0.03189
64, 20, 390, 0.03239
65, line, 388, 0.03273
66, order, 387, 0.03315
67, original, 386, 0.03356
68, series, 385, 0.03398
69, public, 384, 0.03439
70, set, 383, 0.03479
71, great, 382, 0.0352
72, form, 378, 0.03532
73, different, 378, 0.03581
74, point, 376, 0.03611
75, general, 374, 0.0364
76, near, 371, 0.03659
77, times, 366, 0.03657
78, born, 366, 0.03705
79, located, 365, 0.03742
80, held, 359, 0.03727
81, 11, 359, 0.03774
82, 18, 359, 0.0382
83, 13, 358, 0.03856
84, age, 357, 0.03892
85, non, 356, 0.03927
86, having, 356, 0.03973
87, 2005, 356, 0.04019
88, university, 356, 0.04066
89, west, 355, 0.041
90, member, 355, 0.04146
91, 000, 353, 0.04169
92, death, 353, 0.04215
93, given, 351, 0.04236
94, various, 349, 0.04257
95, history, 349, 0.04303
96, 30, 346, 0.04311
97, company, 343, 0.04318
98, short, 341, 0.04337
99, came, 341, 0.04381
100, late, 341, 0.04425
101, children, 340, 0.04457
102, built, 339, 0.04487
103, 16, 338, 0.04518
104, united states, 338, 0.04562
105, released, 337, 0.04592
106, members, 335, 0.04608
107, 14, 335, 0.04652
108, 25, 333, 0.04667
109, century, 333, 0.04711
110, considered, 330, 0.04711
111, played, 329, 0.04739
112, house, 328, 0.04767
113, present, 325, 0.04766
114, 2004, 325, 0.04808
115, east, 325, 0.0485
116, using, 325, 0.04893
117, 100, 324, 0.0492
118, single, 323, 0.04946
119, government, 321, 0.04957
120, music, 318, 0.04952
121, led, 316, 0.04962
122, published, 311, 0.04924
123, received, 310, 0.04948
124, went, 310, 0.04989
125, according, 310, 0.05029
126, included, 310, 0.05069
127, said, 309, 0.05093
128, book, 306, 0.05083
129, making, 305, 0.05106
130, moved, 305, 0.05146
131, john, 304, 0.05168
132, 24, 303, 0.05191
133, 2008, 300, 0.05178
134, similar, 300, 0.05217
135, june, 299, 0.05238
136, started, 297, 0.05242
