Vocab,WordCount
41, 43
251, 314
1328, 1843
1565, 2218
1798, 2505
1926, 2656
2122, 2891
2188, 2970
2538, 3407
2705, 3598
2752, 3653
2939, 3880
2983, 3937
3108, 4084
3377, 4435
3484, 4572
4019, 5333
4078, 5416
4405, 5893
4475, 5988
4538, 6069
5140, 7128
5253, 7275
5347, 7392
5909, 8173
5999, 8302
6240, 8655
6423, 8922
6443, 8965
6687, 9352
7698, 10969
7945, 11300
8063, 11469
8087, 11508
8290, 11797
8393, 11960
8451, 12043
8534, 12166
9443, 13491
9470, 13530
9501, 13571
9521, 13616
9568, 13681
9649, 13784
9723, 13879
9756, 13926
9941, 14187
10574, 15168
10637, 15263
11153, 16104
11220, 16195
11477, 16660
11554, 16757
11751, 17082
12032, 17535
12484, 18196
12580, 18349
12713, 18548
13029, 19041
13199, 19304
13284, 19591
13319, 19660
13682, 20207
14273, 21082
14328, 21159
14698, 21674
14776, 21779
15012, 22122
15191, 22423
15231, 22480
15661, 23089
15861, 23388
16307, 24035
16337, 24080
16893, 25081
16948, 25186
17257, 25631
17688, 26328
18056, 27067
18261, 27390
18380, 27533
18524, 27764
18567, 27831
19044, 28516
19641, 29537
20430, 30706
20905, 31655
20976, 31760
21239, 32171
21264, 32218
21318, 32303
21509, 32640
21842, 33183
21875, 33242
22434, 34021
23068, 35202
23146, 35365
23296, 35602
23340, 35673
23437, 35864
23501, 35965
23521, 36014
23852, 36525
24389, 37328
24448, 37435
24710, 37848
24879, 38137
25972, 40046
26206, 40485
26363, 40736
26431, 40859
27761, 43152
27966, 43495
28452, 44316
28703, 44709
28763, 44802
28812, 44865
28853, 44930
28945, 45103
29141, 45390
29219, 45531
29439, 45880
29487, 45969
30011, 46974
30262, 47437
30641, 48042
30673, 48099
30951, 48584
30977, 48629
31418, 49264
31483, 49375
32469, 51034
32803, 51633
32828, 51674
33059, 52061
33178, 52274
33246, 52379
34325, 54530
34357, 54575
34445, 54708
34526, 54835
34740, 55206
34742, 55247
34800, 55332
34829, 55379
34856, 55416
34907, 55509
35135, 55902
35185, 55983
35264, 56110
35367, 56323
35427, 56414
35490, 56517
35533, 56594
35604, 56721
